market_class,market_class_label,country_iso3,gics_code,sector,period,monthly_returns,first_return_month,last_return_month,efficiency_score,inefficiency_distance,vr_2m,vr_3m,vr_6m
frontier,Frontier,BHR,40,Financials,2008-2010,36,2008-01-31,2010-12-31,0.10765435620077923,0.8923456437992208,1.5426974989767699,1.8838390709473933,2.250500361473499
emerging,Developing (MSCI Emerging proxy),BRA,15,Materials,2008-2010,36,2008-01-31,2010-12-31,-0.013667622453706674,1.0136676224537067,1.5099049226325578,1.8812769557647406,2.6498209889638216
emerging,Developing (MSCI Emerging proxy),BRA,55,Utilities,2008-2010,36,2008-01-31,2010-12-31,-0.07853987393721695,1.078539873937217,1.424754557100478,1.9415288911921136,2.8693361735190592
emerging,Developing (MSCI Emerging proxy),BRA,25,Consumer Discretionary,2008-2010,36,2008-01-31,2010-12-31,-0.1190008086365768,1.1190008086365768,1.4739853669089973,1.8699487734659561,3.013068285534777
emerging,Developing (MSCI Emerging proxy),BRA,40,Financials,2008-2010,36,2008-01-31,2010-12-31,0.09999108792319744,0.9000089120768026,1.3641492632273646,1.7414789653449738,2.5943985076580693
emerging,Developing (MSCI Emerging proxy),BRA,20,Industrials,2008-2010,36,2008-01-31,2010-12-31,-0.11985280580509605,1.119852805805096,1.5022484311101787,1.897140127844962,2.960169858460147
emerging,Developing (MSCI Emerging proxy),BRA,30,Consumer Staples,2008-2010,36,2008-01-31,2010-12-31,-0.13269925815541428,1.1326992581554143,1.486393472731479,1.914285164146597,2.9974191375881674
emerging,Developing (MSCI Emerging proxy),BRA,15,Materials,2020-2021,24,2020-01-31,2021-12-31,0.23099428214721696,0.769005717852783,1.5556374236184474,1.8508272344625216,1.90055249547738
emerging,Developing (MSCI Emerging proxy),BRA,55,Utilities,2020-2021,24,2020-01-31,2021-12-31,0.6449573157460942,0.35504268425390584,1.259897852236984,1.2371190950954392,0.43188889457070556
emerging,Developing (MSCI Emerging proxy),BRA,25,Consumer Discretionary,2020-2021,24,2020-01-31,2021-12-31,0.7151849937368311,0.2848150062631689,1.258166741864361,1.3259852873026066,0.7297070103774608
emerging,Developing (MSCI Emerging proxy),BRA,40,Financials,2020-2021,24,2020-01-31,2021-12-31,0.6305044202270507,0.36949557977294933,1.2926095606650025,1.3150064834120556,0.49912930475821005
emerging,Developing (MSCI Emerging proxy),BRA,20,Industrials,2020-2021,24,2020-01-31,2021-12-31,0.6966299864472819,0.3033700135527181,1.3177292692843738,1.4116174278404219,0.8192366564666415
emerging,Developing (MSCI Emerging proxy),BRA,30,Consumer Staples,2020-2021,24,2020-01-31,2021-12-31,0.6861520634155238,0.3138479365844762,1.3810456622594758,1.5214076786871777,1.0390904688067752
emerging,Developing (MSCI Emerging proxy),BRA,60,Real Estate,2020-2021,24,2020-01-31,2021-12-31,0.6769004481186184,0.3230995518813816,1.3062456577575519,1.3667599254768084,0.7037069275902154
emerging,Developing (MSCI Emerging proxy),BRA,35,Health Care,2020-2021,24,2020-01-31,2021-12-31,0.5738721603787154,0.42612783962128464,1.474358993061066,1.6733065688289974,1.1307179569737904
