market_class,market_class_label,period,gics_code,sector,country_count,countries_iso3,mean_efficiency_score,population_sd_country_scores,mean_vr_2m,mean_vr_3m,mean_vr_6m
emerging,Developing (MSCI Emerging proxy),2020-2021,30,Consumer Staples,18,"BRA,CHL,CHN,EGY,GRC,IDN,IND,KOR,MEX,MYS,PER,PHL,POL,SAU,THA,TUR,TWN,ZAF",0.6943487978872356,0.14407191945461947,1.1317394549578306,1.1322304088881285,0.9409357951378173
emerging,Developing (MSCI Emerging proxy),2020-2021,35,Health Care,10,"BRA,CHN,EGY,IDN,IND,KOR,MYS,POL,THA,TWN",0.5813354348985981,0.17471326072342697,1.2045089228410284,1.2768037707790778,1.1705865556486859
emerging,Developing (MSCI Emerging proxy),2020-2021,40,Financials,20,"ARE,BRA,CHL,CHN,EGY,IDN,IND,KOR,KWT,MEX,MYS,PER,PHL,POL,QAT,SAU,THA,TUR,TWN,ZAF",0.792813276485015,0.1248688064813948,1.1008857915082648,1.181558766052993,0.962175855825808
emerging,Developing (MSCI Emerging proxy),2020-2021,45,Information Technology,11,"CHN,GRC,IDN,IND,KOR,MYS,POL,THA,TUR,TWN,ZAF",0.7269716203952732,0.17431653191492918,1.1578623625196103,1.2052268541784998,0.9724451443348631
emerging,Developing (MSCI Emerging proxy),2020-2021,50,Communication Services,9,"CHN,IDN,IND,KOR,MYS,POL,THA,TWN,ZAF",0.763336374880336,0.09825838975284543,1.0707910399167395,1.01424816592249,0.6344510658972232
emerging,Developing (MSCI Emerging proxy),2020-2021,55,Utilities,7,"BRA,CHL,CHN,IND,KOR,POL,THA",0.7684498767908179,0.14888980170753213,1.054876574001405,0.954810233573537,0.5966337933822945
emerging,Developing (MSCI Emerging proxy),2020-2021,60,Real Estate,17,"ARE,BRA,CHN,EGY,IDN,IND,KOR,KWT,MEX,MYS,PHL,POL,SAU,THA,TUR,TWN,ZAF",0.7683463794692645,0.10726095303765816,1.0857313284599006,1.1369453281601443,0.8246413854935043
emerging,Developing (MSCI Emerging proxy),2022-2025,10,Energy,5,"CHN,IDN,IND,MYS,THA",0.659166097238894,0.105113345234253,0.8707208526810211,0.7426575385924925,0.6391911142424267
emerging,Developing (MSCI Emerging proxy),2022-2025,15,Materials,18,"BRA,CHL,CHN,EGY,GRC,IDN,IND,KOR,MEX,MYS,PER,PHL,POL,SAU,THA,TUR,TWN,ZAF",0.8343304226518111,0.1174691129860298,1.0106619100847185,0.9948373991914115,0.9494667589074434
emerging,Developing (MSCI Emerging proxy),2022-2025,20,Industrials,19,"ARE,BRA,CHL,CHN,EGY,GRC,IDN,IND,KOR,KWT,MEX,MYS,PHL,POL,SAU,THA,TUR,TWN,ZAF",0.8019961047364786,0.13058123322063703,1.0289094790139934,1.0309318523334434,1.041047603628847
emerging,Developing (MSCI Emerging proxy),2022-2025,25,Consumer Discretionary,17,"BRA,CHL,CHN,EGY,GRC,IDN,IND,KOR,MEX,MYS,PHL,POL,SAU,THA,TUR,TWN,ZAF",0.7963817323566776,0.11998075144832744,1.0545490060865705,1.0782561256695486,1.0737452531857195
emerging,Developing (MSCI Emerging proxy),2022-2025,30,Consumer Staples,17,"BRA,CHL,CHN,EGY,IDN,IND,KOR,MEX,MYS,PER,PHL,POL,SAU,THA,TUR,TWN,ZAF",0.8125496395162193,0.08431480587704321,1.0484237300980417,1.0162628076847082,0.8755768113837702
emerging,Developing (MSCI Emerging proxy),2022-2025,35,Health Care,11,"BRA,CHN,EGY,IDN,IND,KOR,MYS,POL,THA,TUR,TWN",0.7313687197949791,0.21641700449435403,1.0955711832694688,1.0766567449252753,1.0477399125776392
emerging,Developing (MSCI Emerging proxy),2022-2025,40,Financials,20,"ARE,BRA,CHL,CHN,EGY,IDN,IND,KOR,KWT,MEX,MYS,PER,PHL,POL,QAT,SAU,THA,TUR,TWN,ZAF",0.8350320432991228,0.12358684587601446,1.0316473348093125,1.0290303467982054,0.9242123792264115
emerging,Developing (MSCI Emerging proxy),2022-2025,45,Information Technology,10,"CHN,GRC,IDN,IND,KOR,MYS,POL,THA,TUR,TWN",0.821447693786214,0.11632363764890787,1.1338034669219017,1.142832418281301,1.1594803447073985
emerging,Developing (MSCI Emerging proxy),2022-2025,50,Communication Services,8,"CHN,IDN,IND,KOR,MYS,POL,THA,TWN",0.7927257665159448,0.11143439010752716,1.083395663288778,1.0814473702044112,1.1328360473069128
emerging,Developing (MSCI Emerging proxy),2022-2025,55,Utilities,9,"BRA,CHL,CHN,IND,KOR,POL,THA,TUR,TWN",0.7843623129910103,0.1116433058240552,1.084642625143183,1.1097247747788055,1.0618225132296575
